crash_id,road_user,age_group
20215023,Pedal cyclist,40_to_64
20215024,Driver,40_to_64
20215004,Motorcycle rider,40_to_64
20215018,Motorcycle rider,40_to_64
20215001,Passenger,17_to_25
20215015,Driver,17_to_25
20215021,Pedestrian,17_to_25
20215010,Driver,26_to_39
20215022,Driver,17_to_25
20215009,Motorcycle rider,40_to_64
20215002,Motorcycle rider,26_to_39
20215005,Motorcycle rider,26_to_39
20215020,Driver,17_to_25
20215008,Driver,75_or_older
20215012,Motorcycle rider,17_to_25
20215016,Driver,40_to_64
20215019,Motorcycle rider,17_to_25
20215014,Driver,40_to_64
20215003,Pedestrian,26_to_39
20215007,Driver,75_or_older
20215017,Pedestrian,40_to_64
20215008,Passenger,40_to_64
20215006,Driver,40_to_64
20215011,Motorcycle rider,26_to_39
20215013,Driver,40_to_64
20205098,Driver,40_to_64
20205041,Pedestrian,26_to_39
20205001,Motorcycle rider,40_to_64
20205133,Other,17_to_25
20205013,Motorcycle rider,26_to_39
20205136,Driver,17_to_25
20205010,Driver,40_to_64
20205010,Driver,40_to_64
20205071,Pedestrian,40_to_64
20205100,Driver,75_or_older
20205101,Passenger,0_to_16
20205111,Passenger,17_to_25
20205095,Driver,40_to_64
20205084,Passenger,26_to_39
20205026,Passenger,0_to_16
20205014,Motorcycle rider,40_to_64
20205059,Driver,40_to_64
20205005,Pedestrian,26_to_39
20205026,Driver,40_to_64
20205040,Driver,17_to_25
20205040,Passenger,17_to_25
20205125,Driver,40_to_64
20205017,Passenger,40_to_64
20205035,Driver,75_or_older
20205084,Driver,26_to_39
20205060,Motorcycle rider,40_to_64
20205096,Motorcycle rider,40_to_64
20205126,Driver,17_to_25
20205125,Passenger,40_to_64
20205029,Driver,17_to_25
20205120,Driver,40_to_64
20205135,Passenger,0_to_16
20205122,Pedestrian,17_to_25
20205122,Pedestrian,40_to_64
20205027,Motorcycle rider,40_to_64
20205049,Driver,17_to_25
20205065,Driver,40_to_64
20205058,Driver,40_to_64
20205068,Driver,17_to_25
20205074,Driver,40_to_64
20205124,Driver,26_to_39
20205066,Driver,26_to_39
20205119,Driver,17_to_25
20205128,Motorcycle rider,26_to_39
20205122,Pedestrian,17_to_25
20205021,Pedal cyclist,40_to_64
20205092,Driver,65_to_74
20205083,Motorcycle rider,40_to_64
20205075,Driver,65_to_74
20205106,Driver,65_to_74
20205009,Passenger,26_to_39
20205036,Pedestrian,26_to_39
20205112,Motorcycle rider,40_to_64
20205009,Driver,26_to_39
20205094,Motorcycle rider,40_to_64
20205070,Passenger,26_to_39
20205023,Driver,40_to_64
20205103,Driver,26_to_39
20205030,Driver,40_to_64
20205055,Driver,40_to_64
20205103,Passenger,26_to_39
20205130,Driver,26_to_39
20205011,Driver,40_to_64
20205117,Driver,75_or_older
20205118,Driver,26_to_39
20205093,Motorcycle rider,40_to_64
20205053,Motorcycle rider,40_to_64
20205045,Driver,75_or_older
20205052,Driver,75_or_older
20205025,Passenger,40_to_64
20205034,Driver,17_to_25
20205064,Motorcycle rider,65_to_74
20205131,Driver,26_to_39
20205099,Driver,65_to_74
20205081,Pedestrian,26_to_39
20205037,Driver,26_to_39
20205097,Passenger,17_to_25
20205121,Driver,75_or_older
20205007,Pedestrian,40_to_64
